atype,phase_of_flt,state,height,speed,effect,sky,species,birds_struck,month_of_the_year,season
BE-58  BARON,Climb,East South Central,200.0,130.0,Precautionary Landing,Overcast,UNKNOWN BIRD - LARGE,1,December,Winter
B-737-200,Approach,South Atlantic,5000.0,135.0,Other,No Cloud,UNKNOWN BIRD - LARGE,1,March,Spring
B-737-200,Descent,South Atlantic,3000.0,170.0,None,Some Cloud,UNKNOWN BIRD,1,March,Spring
LEARJET-55,Take-off run,West North Central,0.0,120.0,None,Some Cloud,UNKNOWN BIRD - SMALL,2-10,September,Fall
MOONEY-20B/C,Descent,Pacific,2000.0,120.0,None,No Cloud,UNKNOWN BIRD - SMALL,1,December,Winter
FK-100,Climb,Middle Atlantic,10.0,140.0,None,No Cloud,UNKNOWN BIRD - SMALL,1,July,Summer
BE-200 KING,Climb,East South Central,200.0,120.0,None,No Cloud,SPARROWS,1,April,Spring
SAAB-340,Climb,South Atlantic,20.0,135.0,None,No Cloud,UNKNOWN BIRD - MEDIUM,1,January,Winter
B-737-200,Take-off run,Pacific,0.0,120.0,None,No Cloud,UNKNOWN BIRD - SMALL,1,January,Winter
B-737,Take-off run,East North Central,0.0,120.0,None,Some Cloud,AMERICAN KESTREL,1,August,Summer
B-737,Approach,South Atlantic,400.0,135.0,None,Overcast,BLACKBIRDS,1,November,Fall
B-737-300,Approach,West South Central,4000.0,210.0,None,Overcast,BLACKBIRDS,1,May,Spring
B-737-200,Descent,Mountain,11000.0,250.0,None,No Cloud,UNKNOWN BIRD - LARGE,1,November,Fall
DC-9-30,En Route,Unknown,2500.0,130.0,None,Some Cloud,UNKNOWN BIRD,1,July,Summer
C-310,Descent,West North Central,2300.0,160.0,None,No Cloud,LOONS,1,November,Fall
BE-90  KING,Take-off run,East North Central,0.0,120.0,Aborted Take-off,No Cloud,CANADA GOOSE,2-10,October,Fall
DA-10 FALCON,Take-off run,East North Central,0.0,120.0,None,Overcast,SPARROWS,2-10,July,Summer
BE-23 SUNDOWNER,Take-off run,South Atlantic,0.0,55.0,None,Some Cloud,UNKNOWN BIRD - MEDIUM,1,July,Summer
B-737,Approach,Pacific,800.0,135.0,None,Overcast,SPARROWS,1,May,Spring
MD-82,Descent,East North Central,5100.0,250.0,None,No Cloud,UNKNOWN BIRD,1,May,Spring
MD-80,Approach,West South Central,250.0,140.0,None,No Cloud,UNKNOWN BIRD,1,September,Fall
BE-1900,Climb,West South Central,500.0,150.0,None,Some Cloud,BLACKBIRDS,1,November,Fall
FK-100,Approach,East North Central,150.0,135.0,None,Some Cloud,SPARROWS,1,August,Summer
B-727,Climb,East North Central,1100.0,150.0,None,Some Cloud,GULLS,1,September,Fall
FK-100,Approach,West North Central,2500.0,150.0,None,Some Cloud,UNKNOWN BIRD,1,September,Fall
B-727,Take-off run,South Atlantic,0.0,135.0,None,Some Cloud,EASTERN MEADOWLARK,1,November,Fall
C-172,Approach,West North Central,800.0,100.0,Other,No Cloud,UNKNOWN BIRD,1,December,Winter
B-737-200,Take-off run,Middle Atlantic,0.0,80.0,Aborted Take-off,Overcast,CANADA GOOSE,2-10,May,Spring
MD-80,Take-off run,South Atlantic,0.0,140.0,None,No Cloud,AMERICAN ROBIN,1,May,Spring
DC-9,Take-off run,South Atlantic,0.0,120.0,None,Some Cloud,UNKNOWN BIRD - SMALL,2-10,July,Summer
MD-88,Approach,Middle Atlantic,500.0,150.0,None,No Cloud,CANADA GOOSE,2-10,February,Winter
DC-10-40,Approach,East North Central,50.0,135.0,None,Overcast,CANADA GOOSE,2-10,February,Winter
B-737-300,Approach,Mountain,1000.0,140.0,None,No Cloud,UNKNOWN BIRD,1,December,Winter
MD-88,Take-off run,South Atlantic,0.0,128.0,None,Some Cloud,UNKNOWN BIRD - MEDIUM,1,August,Summer
B-747-400,Take-off run,Pacific,0.0,120.0,None,Some Cloud,GULLS,1,May,Spring
DC-9-80,Climb,South Atlantic,50.0,140.0,None,No Cloud,UNKNOWN BIRD - SMALL,1,May,Spring
B-757-200,Approach,East South Central,2500.0,170.0,None,No Cloud,UNKNOWN BIRD - MEDIUM,1,April,Spring
DC-9-80,Landing Roll,West South Central,0.0,129.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1,October,Fall
BE-60 DUKE,Approach,Mountain,200.0,100.0,None,Some Cloud,MOURNING DOVE,2-10,February,Winter
DC-9-30,Landing Roll,Middle Atlantic,0.0,105.0,None,No Cloud,KILLDEER,1,July,Summer
B-737,Approach,Middle Atlantic,7000.0,140.0,None,Some Cloud,SPARROWS,1,May,Spring
DC-9-40,En Route,West North Central,2500.0,130.0,None,No Cloud,UNKNOWN BIRD - SMALL,1,September,Fall
B-757-200,Approach,East North Central,400.0,133.0,None,Some Cloud,UNKNOWN BIRD - MEDIUM,1,September,Fall
DC-9-30,En Route,South Atlantic,2500.0,130.0,None,Some Cloud,UNKNOWN BIRD,1,August,Summer
DC-9-83,Landing Roll,West South Central,0.0,100.0,None,Some Cloud,UNKNOWN BIRD - LARGE,1,June,Summer
CL-600,Landing Roll,New England,0.0,160.0,None,Overcast,CROWS,1,August,Summer
ATR-42,Approach,New England,300.0,135.0,None,Overcast,UNKNOWN BIRD - MEDIUM,1,March,Spring
B-757-200,Take-off run,South Atlantic,0.0,120.0,Precautionary Landing,No Cloud,UNKNOWN BIRD,1,June,Summer
FK-100,Approach,East North Central,300.0,140.0,None,No Cloud,UNKNOWN BIRD - SMALL,2-10,October,Fall
B-727,Take-off run,Unknown,0.0,120.0,None,Some Cloud,GULLS,1,August,Summer
B-737-400,Approach,South Atlantic,500.0,150.0,None,No Cloud,GULLS,1,March,Spring
B-737,Approach,West South Central,300.0,135.0,None,No Cloud,UNKNOWN BIRD,1,March,Spring
DC-9-30,Climb,Middle Atlantic,100.0,190.0,None,Some Cloud,UNKNOWN BIRD,1,September,Fall
B-737-400,Landing Roll,Middle Atlantic,0.0,120.0,None,Some Cloud,UNKNOWN BIRD - SMALL,2-10,September,Fall
MD-82,Take-off run,Middle Atlantic,0.0,120.0,None,Some Cloud,UNKNOWN BIRD,1,November,Fall
DC-9-80,Approach,Pacific,400.0,160.0,None,No Cloud,UNKNOWN BIRD - SMALL,1,June,Summer
DC-9,Approach,South Atlantic,800.0,140.0,None,Some Cloud,UNKNOWN BIRD,1,June,Summer
BE-36,En Route,West North Central,2800.0,170.0,Precautionary Landing,No Cloud,DUCKS,1,April,Spring
B-737,Take-off run,West South Central,0.0,120.0,None,No Cloud,UNKNOWN BIRD,1,April,Spring
SAAB-340,Approach,East South Central,200.0,130.0,None,No Cloud,UNKNOWN BIRD - SMALL,1,November,Fall
MD-83,Landing Roll,Middle Atlantic,0.0,120.0,None,No Cloud,GULLS,2-10,September,Fall
MERLIN IV,Approach,Middle Atlantic,300.0,109.0,None,Overcast,GULLS,2-10,April,Spring
B-737-400,Landing Roll,Pacific,0.0,120.0,None,Some Cloud,UNKNOWN BIRD - MEDIUM,1,February,Winter
PA-28,Take-off run,New England,0.0,120.0,Aborted Take-off,No Cloud,WHITE-TAILED DEER,1,May,Spring
MD-80,Approach,South Atlantic,400.0,140.0,None,No Cloud,UNKNOWN BIRD - SMALL,1,October,Fall
PA-34 SENECA,Climb,Middle Atlantic,300.0,100.0,None,Overcast,UNKNOWN BIRD - SMALL,1,October,Fall
B-737-200,Approach,Mountain,500.0,160.0,None,Overcast,UNKNOWN BIRD,2-10,December,Winter
B-727-200,Approach,West South Central,2000.0,180.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1,September,Fall
B-727,Approach,South Atlantic,300.0,125.0,None,No Cloud,UNKNOWN BIRD - SMALL,1,January,Winter
C-152,Landing Roll,New England,0.0,105.0,None,No Cloud,WHITE-TAILED DEER,1,September,Fall
B-757-200,Approach,South Atlantic,500.0,130.0,None,No Cloud,UNKNOWN BIRD - SMALL,1,September,Fall
B-737,Approach,West South Central,200.0,135.0,None,Overcast,UNKNOWN BIRD - SMALL,1,May,Spring
BA-31 JETSTR,Take-off run,South Atlantic,0.0,55.0,Aborted Take-off,No Cloud,CANADA GOOSE,2-10,July,Summer
B-727,Approach,East South Central,2500.0,170.0,None,Some Cloud,UNKNOWN BIRD - MEDIUM,1,October,Fall
B-727,Approach,Middle Atlantic,100.0,140.0,None,No Cloud,GULLS,1,October,Fall
EMB-120,Landing Roll,West South Central,0.0,105.0,None,No Cloud,UNKNOWN BIRD,1,May,Spring
DC-9-80,Take-off run,Pacific,0.0,110.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1,July,Summer
B-737-200,Take-off run,South Atlantic,0.0,80.0,Aborted Take-off,Overcast,CROWS,1,July,Summer
FK-28-4000,Landing Roll,Middle Atlantic,0.0,100.0,None,No Cloud,SPARROWS,1,June,Summer
B-727,Approach,South Atlantic,50.0,135.0,None,Some Cloud,HAWKS,1,November,Fall
B-727,Landing Roll,Unknown,0.0,130.0,None,Overcast,UNKNOWN BIRD - SMALL,1,August,Summer
MD-82,Take-off run,East South Central,0.0,100.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1,October,Fall
LOCKHEED C-130,Approach,Middle Atlantic,300.0,135.0,None,No Cloud,ROCK PIGEON,2-10,June,Summer
C-500,Landing Roll,West North Central,0.0,110.0,None,No Cloud,UNKNOWN BIRD - SMALL,2-10,September,Fall
B-737-200,Approach,West South Central,125.0,130.0,None,No Cloud,UNKNOWN BIRD - SMALL,1,March,Spring
PA-60 600,Approach,Middle Atlantic,30.0,90.0,Precautionary Landing,Overcast,GULLS,1,March,Spring
B-727,Approach,West South Central,50.0,135.0,None,Overcast,UNKNOWN BIRD - MEDIUM,1,March,Spring
B-727,Approach,South Atlantic,2800.0,160.0,None,No Cloud,BLACKBIRDS,1,September,Fall
B-737-200,Climb,South Atlantic,1000.0,170.0,None,Some Cloud,DOVES,1,May,Spring
EMB-120,Take-off run,Middle Atlantic,0.0,120.0,None,No Cloud,UNKNOWN BIRD - SMALL,1,April,Spring
C-172,Descent,South Atlantic,1300.0,95.0,None,No Cloud,TURKEY VULTURE,1,November,Fall
C-172,Take-off run,East North Central,0.0,120.0,Aborted Take-off,Overcast,GULLS,1,September,Fall
B-757-200,Descent,East South Central,5000.0,210.0,None,No Cloud,UNKNOWN BIRD,2-10,May,Spring
B-757-200,Approach,West South Central,100.0,135.0,None,No Cloud,UNKNOWN BIRD,1,January,Winter
B-737-200,Approach,West South Central,30.0,120.0,None,Overcast,UNKNOWN BIRD - LARGE,1,March,Spring
HWKR SD-125,Take-off run,Middle Atlantic,0.0,130.0,Aborted Take-off,Overcast,UNKNOWN BIRD - SMALL,1,August,Summer
SHORTS 360,Landing Roll,Middle Atlantic,0.0,105.0,None,Some Cloud,WHITE-TAILED DEER,1,July,Summer
B-757-200,Climb,Unknown,100.0,150.0,None,Some Cloud,UNKNOWN BIRD - MEDIUM,1,May,Spring
DC-9,Take-off run,South Atlantic,0.0,120.0,Precautionary Landing,No Cloud,WHITE-TAILED DEER,1,November,Fall
MD-80,Descent,West North Central,5800.0,260.0,None,No Cloud,UNKNOWN BIRD - LARGE,2-10,September,Fall
B-727,Landing Roll,Mountain,0.0,105.0,None,Some Cloud,SPARROWS,1,October,Fall
B-737-500,Landing Roll,West South Central,0.0,138.0,None,No Cloud,DOVES,1,October,Fall
A-300,Landing Roll,South Atlantic,0.0,110.0,None,No Cloud,UNKNOWN BIRD - LARGE,1,December,Winter
MERLIN III,Descent,Pacific,5500.0,210.0,None,Some Cloud,CANADA GOOSE,1,February,Winter
C-152,Climb,South Atlantic,5.0,60.0,None,No Cloud,DOVES,1,July,Summer
C-172,Climb,Pacific,40.0,70.0,None,No Cloud,CANADA GOOSE,2-10,December,Winter
SAAB-340,Approach,Middle Atlantic,300.0,135.0,None,Overcast,UNKNOWN BIRD - LARGE,1,September,Fall
B-757-200,Take-off run,West South Central,0.0,100.0,None,Some Cloud,UNKNOWN BIRD - MEDIUM,1,September,Fall
B-727-200,Landing Roll,South Atlantic,0.0,105.0,None,Some Cloud,UNKNOWN BIRD - MEDIUM,1,September,Fall
L-1011,Approach,Mountain,500.0,140.0,None,Some Cloud,GULLS,1,September,Fall
A-320,Approach,South Atlantic,200.0,140.0,None,No Cloud,GULLS,1,October,Fall
FK-100,Approach,Middle Atlantic,150.0,140.0,None,Some Cloud,UNKNOWN BIRD - SMALL,2-10,August,Summer
C-172,Approach,West South Central,300.0,135.0,None,No Cloud,UNKNOWN BIRD - SMALL,1,August,Summer
B-757-200,Approach,Pacific,100.0,130.0,None,No Cloud,GULLS,1,June,Summer
BA-31 JETSTR,Climb,South Atlantic,180.0,160.0,Precautionary Landing,No Cloud,UNKNOWN BIRD - MEDIUM,1,June,Summer
B-737-300,Take-off run,Middle Atlantic,0.0,135.0,None,No Cloud,DUCKS,1,May,Spring
MD-83,Take-off run,Unknown,0.0,140.0,None,Some Cloud,EUROPEAN STARLING,1,May,Spring
MD-82,Take-off run,East South Central,0.0,128.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1,May,Spring
B-737,Landing Roll,Middle Atlantic,0.0,105.0,None,Some Cloud,UNKNOWN BIRD - SMALL,2-10,August,Summer
B-737-200,Approach,New England,300.0,140.0,None,Some Cloud,GULLS,2-10,September,Fall
B-737,Approach,Pacific,2275.0,210.0,Other,Overcast,UNKNOWN BIRD - MEDIUM,2-10,January,Winter
DC-9,Landing Roll,Pacific,0.0,105.0,None,No Cloud,UNKNOWN BIRD,2-10,January,Winter
ATR-42,Approach,Middle Atlantic,2000.0,200.0,None,No Cloud,UNKNOWN BIRD - LARGE,2-10,March,Spring
B-737-200,Approach,Mountain,1800.0,190.0,Other,No Cloud,UNKNOWN BIRD - LARGE,2-10,November,Fall
BE-95,Climb,Mountain,1200.0,95.0,None,No Cloud,BLACK-BILLED MAGPIE,1,April,Spring
C-172,Climb,Mountain,2000.0,90.0,Precautionary Landing,Some Cloud,SWALLOWS,1,July,Summer
B-737-300,Take-off run,Pacific,0.0,100.0,None,No Cloud,UNKNOWN BIRD - SMALL,1,January,Winter
B-737-200,Approach,East North Central,1000.0,120.0,None,Some Cloud,UNKNOWN BIRD - MEDIUM,1,August,Summer
BA-31 JETSTR,Take-off run,East North Central,0.0,120.0,None,Overcast,UNKNOWN BIRD,1,August,Summer
MD-80,Approach,East North Central,150.0,150.0,None,No Cloud,GULLS,1,October,Fall
B-737-200,Climb,East North Central,100.0,160.0,None,Overcast,UNKNOWN BIRD - SMALL,1,June,Summer
A-300,Approach,Middle Atlantic,300.0,131.0,None,No Cloud,UNKNOWN BIRD - SMALL,1,October,Fall
DC-9-30,Landing Roll,Middle Atlantic,0.0,100.0,None,No Cloud,UNKNOWN BIRD - SMALL,1,July,Summer
FK-100,Approach,West South Central,50.0,130.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1,November,Fall
B-757-200,Approach,West South Central,100.0,135.0,None,No Cloud,BLACKBIRDS,2-10,October,Fall
C-310,En Route,West North Central,2900.0,165.0,Precautionary Landing,No Cloud,GEESE,2-10,March,Spring
MD-82,Approach,South Atlantic,400.0,150.0,None,Some Cloud,GULLS,1,December,Winter
NAMC YS-11A,En Route,East North Central,2500.0,130.0,None,No Cloud,UNKNOWN BIRD,1,May,Spring
DC-9-80,Approach,East North Central,3300.0,210.0,None,Some Cloud,SPARROWS,1,October,Fall
DA-50 FALCON,Take-off run,Middle Atlantic,0.0,110.0,None,Overcast,WHITE-TAILED DEER,1,July,Summer
DC-9-30,Take-off run,East North Central,0.0,150.0,None,Overcast,GULLS,1,July,Summer
HAWKER 800,Take-off run,East North Central,0.0,120.0,None,Overcast,GULLS,2-10,April,Spring
B-727-200,Climb,Middle Atlantic,200.0,140.0,None,No Cloud,GULLS,1,November,Fall
FK-100,Landing Roll,South Atlantic,0.0,105.0,None,No Cloud,ROCK PIGEON,1,December,Winter
B-737-300,Climb,West South Central,100.0,160.0,None,Overcast,GULLS,2-10,December,Winter
SAAB-340,Climb,East North Central,50.0,80.0,None,No Cloud,GULLS,2-10,April,Spring
MD-80,Take-off run,East North Central,0.0,150.0,None,Overcast,GULLS,1,January,Winter
ATR-42,Descent,South Atlantic,5000.0,220.0,None,No Cloud,UNKNOWN BIRD - MEDIUM,1,April,Spring
DC-9-30,Descent,East South Central,2000.0,190.0,None,Overcast,UNKNOWN BIRD - SMALL,1,May,Spring
MD-80,Take-off run,South Atlantic,0.0,110.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1,May,Spring
C-120/140,Take-off run,Pacific,0.0,40.0,None,Overcast,CANADA GOOSE,1,May,Spring
DC-9-30,Approach,Middle Atlantic,300.0,125.0,None,Some Cloud,BROWN PELICAN,1,November,Fall
PA-32,Approach,South Atlantic,1000.0,90.0,None,Some Cloud,UNKNOWN BIRD - LARGE,1,November,Fall
B-737-200,Approach,Mountain,4500.0,135.0,None,No Cloud,UNKNOWN BIRD,1,March,Spring
C-152,En Route,South Atlantic,1600.0,95.0,Precautionary Landing,Some Cloud,TURKEY VULTURE,1,August,Summer
B-737,Take-off run,East South Central,0.0,120.0,Aborted Take-off,No Cloud,MOURNING DOVE,2-10,September,Fall
B-737-200,Descent,Middle Atlantic,4000.0,250.0,None,No Cloud,UNKNOWN BIRD - SMALL,1,September,Fall
C-206 STATIO,Approach,Pacific,100.0,85.0,None,Some Cloud,GULLS,2-10,August,Summer
BA-31 JETSTR,Approach,South Atlantic,600.0,125.0,None,Overcast,BLACKBIRDS,1,September,Fall
PA-60 600,Climb,South Atlantic,100.0,140.0,None,Overcast,GULLS,2-10,March,Spring
B-727,Approach,South Atlantic,900.0,140.0,None,No Cloud,UNKNOWN BIRD - SMALL,1,November,Fall
BE-200 KING,Take-off run,East South Central,0.0,80.0,None,No Cloud,RED-TAILED HAWK,1,May,Spring
DORNIER 228,Take-off run,New England,0.0,120.0,Precautionary Landing,No Cloud,UNKNOWN BIRD,1,September,Fall
MD-82,Climb,South Atlantic,100.0,160.0,None,Some Cloud,BLACKBIRDS,1,August,Summer
MD-80,Approach,East North Central,200.0,140.0,None,Some Cloud,UNKNOWN BIRD - MEDIUM,1,September,Fall
BE-200 KING,Take-off run,Mountain,0.0,100.0,None,No Cloud,UNKNOWN BIRD - SMALL,1,February,Winter
FK-100,Landing Roll,East North Central,0.0,90.0,None,No Cloud,UNKNOWN BIRD - SMALL,1,September,Fall
B-737-300,Climb,Middle Atlantic,150.0,140.0,None,No Cloud,GULLS,2-10,August,Summer
MD-88,Take-off run,West South Central,0.0,120.0,None,Overcast,MOURNING DOVE,1,December,Winter
B-727,Approach,South Atlantic,400.0,140.0,None,Some Cloud,UNKNOWN BIRD,1,October,Fall
PA-31 NAVAJO,Climb,Middle Atlantic,90.0,140.0,None,No Cloud,GULLS,1,August,Summer
B-737,Climb,South Atlantic,150.0,160.0,None,Some Cloud,UNKNOWN BIRD - MEDIUM,2-10,July,Summer
BE-99,Climb,Mountain,1130.0,160.0,Precautionary Landing,Some Cloud,GULLS,1,July,Summer
DC-9,Descent,West South Central,55.0,210.0,None,No Cloud,EUROPEAN STARLING,2-10,May,Spring
C-500,Take-off run,East South Central,0.0,95.0,Aborted Take-off,Some Cloud,SPARROWS,2-10,June,Summer
B-737-200,Take-off run,East South Central,0.0,140.0,Aborted Take-off,No Cloud,HAWKS,1,July,Summer
C-172,Landing Roll,Middle Atlantic,0.0,60.0,None,No Cloud,BLACKBIRDS,11-100,August,Summer
DC-9,Approach,South Atlantic,600.0,140.0,None,No Cloud,UNKNOWN BIRD - LARGE,1,April,Spring
UNKNOWN,Take-off run,Pacific,0.0,120.0,Precautionary Landing,No Cloud,GULLS,1,June,Summer
MD-82,Approach,East North Central,1500.0,170.0,None,Some Cloud,BLACKBIRDS,1,June,Summer
PA-31 NAVAJO,Climb,Pacific,100.0,110.0,None,Overcast,HOODED MERGANSER,1,July,Summer
BE-1900,Approach,West North Central,100.0,125.0,None,No Cloud,UNKNOWN BIRD - LARGE,1,April,Spring
B-737-300,Climb,South Atlantic,75.0,150.0,None,Overcast,GULLS,2-10,August,Summer
IAI-1124,Landing Roll,South Atlantic,0.0,75.0,None,Some Cloud,FOXES,1,June,Summer
DHC8 DASH 8,Take-off run,Middle Atlantic,0.0,120.0,None,Some Cloud,UNKNOWN BIRD - SMALL,2-10,August,Summer
DC-9-30,Landing Roll,West South Central,0.0,100.0,None,Some Cloud,HAWKS,1,September,Fall
LEARJET-35,Landing Roll,South Atlantic,0.0,90.0,None,Some Cloud,EUROPEAN STARLING,2-10,August,Summer
LEARJET-25,Take-off run,South Atlantic,0.0,120.0,Aborted Take-off,No Cloud,CANADA GOOSE,2-10,May,Spring
MD-80,Approach,Pacific,50.0,125.0,None,No Cloud,SPARROWS,1,April,Spring
B-727,Landing Roll,East South Central,0.0,70.0,None,Overcast,GULLS,2-10,February,Winter
BA-125-800,Landing Roll,East North Central,0.0,105.0,None,Overcast,MOURNING DOVE,2-10,February,Winter
DC-9-40,En Route,West North Central,2600.0,170.0,None,Overcast,UNKNOWN BIRD - SMALL,1,May,Spring
DC-9-40,Approach,East North Central,300.0,135.0,None,No Cloud,UNKNOWN BIRD,1,June,Summer
B-757-200,Climb,Middle Atlantic,300.0,150.0,None,No Cloud,UNKNOWN BIRD - MEDIUM,1,March,Spring
A-300,Take-off run,South Atlantic,0.0,135.0,None,No Cloud,UNKNOWN BIRD - SMALL,1,October,Fall
ATR-42,Landing Roll,East North Central,0.0,105.0,None,No Cloud,WHITE-TAILED DEER,1,November,Fall
DHC8 DASH 8,Climb,West North Central,6500.0,160.0,Precautionary Landing,No Cloud,UNKNOWN BIRD - MEDIUM,1,November,Fall
B-737,Approach,West South Central,300.0,120.0,None,Some Cloud,BATS,2-10,October,Fall
B-737-300,Descent,Middle Atlantic,2000.0,180.0,None,No Cloud,UNKNOWN BIRD - SMALL,1,August,Summer
DHC8 DASH 8,Take-off run,East North Central,0.0,95.0,Precautionary Landing,Some Cloud,GULLS,1,July,Summer
DC-9-30,En Route,Unknown,2500.0,130.0,None,No Cloud,UNKNOWN BIRD,1,April,Spring
LEARJET-55,Approach,East North Central,175.0,135.0,None,Overcast,GULLS,1,July,Summer
BE-58  BARON,Climb,East South Central,20.0,110.0,None,Some Cloud,UNKNOWN BIRD - SMALL,2-10,August,Summer
B-727,Approach,South Atlantic,50.0,140.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1,August,Summer
B-737,Take-off run,South Atlantic,0.0,120.0,None,Some Cloud,DOVES,2-10,August,Summer
B-737-300,Landing Roll,Pacific,0.0,100.0,None,No Cloud,GULLS,1,June,Summer
DC-9-30,Approach,East North Central,750.0,135.0,None,No Cloud,GULLS,1,September,Fall
BE-400 BJET,Climb,New England,3000.0,210.0,None,No Cloud,UNKNOWN BIRD,1,September,Fall
B-737-400,Approach,Middle Atlantic,3500.0,220.0,None,No Cloud,UNKNOWN BIRD - SMALL,1,September,Fall
C-206 STATIO,Approach,Pacific,3000.0,130.0,None,Some Cloud,BLACKBIRDS,1,April,Spring
MD-88,Approach,West South Central,300.0,135.0,None,No Cloud,UNKNOWN BIRD,1,December,Winter
B-727,Approach,West South Central,3700.0,250.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1,July,Summer
C-172,Approach,Middle Atlantic,1400.0,90.0,None,No Cloud,UNKNOWN BIRD - LARGE,1,October,Fall
DC-9-30,Climb,South Atlantic,2500.0,230.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1,September,Fall
C-500,Approach,Pacific,600.0,120.0,None,No Cloud,"DUCKS, GEESE, SWANS",2-10,March,Spring
C-172,Approach,East North Central,100.0,80.0,None,Some Cloud,RED-TAILED HAWK,1,January,Winter
FK-28-1000,Landing Roll,New England,0.0,110.0,None,Some Cloud,ROCK PIGEON,2-10,October,Fall
UNKNOWN,Landing Roll,East North Central,0.0,105.0,None,Overcast,HERRING GULL,1,July,Summer
DC-9,Take-off run,South Atlantic,0.0,100.0,None,Overcast,DOVES,2-10,August,Summer
DORNIER 328,Landing Roll,Middle Atlantic,0.0,120.0,None,No Cloud,HAWKS,1,September,Fall
MD-11,Approach,West South Central,1500.0,160.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1,October,Fall
DC-9,Approach,South Atlantic,20.0,135.0,None,Overcast,EUROPEAN STARLING,1,May,Spring
C-182 SKYLAN,Descent,Middle Atlantic,1300.0,110.0,None,No Cloud,AMERICAN ROBIN,1,May,Spring
PA-31 NAVAJO,Approach,South Atlantic,100.0,90.0,None,Some Cloud,UNKNOWN BIRD - MEDIUM,1,June,Summer
MD-80,Approach,West South Central,1000.0,130.0,None,No Cloud,UNKNOWN BIRD - SMALL,1,May,Spring
MD-83,Approach,Pacific,300.0,135.0,None,No Cloud,GRAY PARTRIDGE,2-10,December,Winter
DC-10-10,Approach,Middle Atlantic,300.0,140.0,None,Overcast,DUCKS,1,December,Winter
MD-83,Approach,East North Central,500.0,140.0,None,Some Cloud,SPARROWS,1,August,Summer
FK-28-1000,Take-off run,South Atlantic,0.0,120.0,None,Some Cloud,UNKNOWN BIRD,1,September,Fall
SHORTS 360,Approach,Middle Atlantic,300.0,135.0,None,Overcast,CROWS,1,September,Fall
SAAB-340,Climb,Middle Atlantic,2000.0,200.0,None,No Cloud,UNKNOWN BIRD - MEDIUM,1,November,Fall
B-727,Approach,Pacific,300.0,135.0,None,No Cloud,UNKNOWN BIRD,2-10,November,Fall
BA-31 JETSTR,Approach,Pacific,2500.0,200.0,None,Overcast,GEESE,2-10,November,Fall
MD-80,Take-off run,Mountain,0.0,150.0,None,No Cloud,UNKNOWN BIRD - MEDIUM,1,July,Summer
B-737-200,Climb,West South Central,200.0,145.0,None,No Cloud,UNKNOWN BIRD - SMALL,1,June,Summer
B-737,Take-off run,South Atlantic,0.0,120.0,Precautionary Landing,No Cloud,WHITE-TAILED DEER,1,October,Fall
B-737-300,Approach,Pacific,300.0,135.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1,November,Fall
MD-88,Descent,East South Central,4000.0,230.0,None,Some Cloud,UNKNOWN BIRD,1,September,Fall
MD-88,Climb,South Atlantic,1400.0,200.0,None,Some Cloud,UNKNOWN BIRD - LARGE,1,May,Spring
PA-28,Climb,Pacific,30.0,60.0,None,Overcast,GULLS,2-10,October,Fall
B-737-200,Take-off run,Middle Atlantic,0.0,120.0,None,No Cloud,UNKNOWN BIRD - SMALL,1,October,Fall
C-172,Landing Roll,Middle Atlantic,0.0,50.0,None,Some Cloud,GULLS,1,November,Fall
MD-82,Approach,New England,1.0,140.0,None,Some Cloud,UNKNOWN BIRD - LARGE,1,January,Winter
MD-80,Approach,Pacific,30.0,127.0,None,No Cloud,HAWKS,1,September,Fall
EMB-120,Approach,Pacific,3000.0,240.0,None,Some Cloud,UNKNOWN BIRD - MEDIUM,1,September,Fall
B-737-300,Descent,Middle Atlantic,4000.0,250.0,None,No Cloud,UNKNOWN BIRD - MEDIUM,1,October,Fall
B-727,Landing Roll,West South Central,0.0,105.0,None,No Cloud,UNKNOWN BIRD,1,September,Fall
C-650,Take-off run,New England,0.0,120.0,Aborted Take-off,Some Cloud,WHITE-TAILED DEER,1,March,Spring
ATR-42,Approach,East South Central,200.0,120.0,None,No Cloud,UNKNOWN BIRD - SMALL,1,May,Spring
BA-31 JETSTR,Landing Roll,East North Central,0.0,100.0,None,Some Cloud,DUCKS,2-10,May,Spring
HWKR SD-125,Take-off run,Middle Atlantic,0.0,120.0,None,Some Cloud,UNKNOWN BIRD - MEDIUM,1,October,Fall
BA-125-800,Landing Roll,Middle Atlantic,0.0,105.0,None,Some Cloud,AMERICAN KESTREL,1,October,Fall
DC-9,Approach,East North Central,300.0,120.0,None,Some Cloud,GULLS,1,August,Summer
MD-82,Climb,West South Central,200.0,150.0,None,No Cloud,UNKNOWN BIRD - SMALL,1,March,Spring
