opid,operator,atype,remarks,phase_of_flt,date,state,height,speed,effect,sky,species,birds_struck
NWA,NORTHWEST AIRLINES,A-320,NO APPARENT DAMAGE. FLT 858,Approach,1/25/1993 0:00:00,DC,500.0,140.0,None,No Cloud,GULLS,2-10
UAL,UNITED AIRLINES,B-737,PART OF A/C STRUCK UNKN.,Take-off run,9/9/1995 0:00:00,IA,0.0,120.0,None,No Cloud,UNKNOWN BIRD - SMALL,1
BUS,BUSINESS,DHC8 DASH 8,4 DUCKS,Approach,4/2/1992 0:00:00,OR,3400.0,240.0,None,No Cloud,DUCKS,2-10
BUS,BUSINESS,LEARJET-35,PILOT INSPECTED A/C VISUALLY AND REPTD. NO DAMAGE.,Approach,8/28/1995 0:00:00,PA,15.0,120.0,None,No Cloud,UNKNOWN BIRD - SMALL,2-10
USA,US AIRWAYS,B-737-400,"BIRD STRIKE ON RADOME ABOUT 15"" FROM CENTER ON RT SIDE. NO EFFECT  ON FLT, ONLY MINOR DAMAGE.",Descent,9/3/1995 0:00:00,NC,3000.0,210.0,None,No Cloud,UNKNOWN BIRD - MEDIUM,1
SWA,SOUTHWEST AIRLINES,B-737-300,"FLT962 HAD A BIRD STRIKE DURING LIFTOFF, VIBRATION WAS  EXPERIENCED.  RETD SFO & LANDED RY 28R. 2 BENT FAN BLADES IN #2  ENG. WERE REPLACED.  TIME = 1049PDT. AT LEAST 1 BIRD WAS  INGESTED.",Climb,9/4/1995 0:00:00,CA,200.0,140.0,Precautionary Landing,No Cloud,GULLS,1
UAL,UNITED AIRLINES,B-737-500,FLT 1046.  AT 2305Z. LANDED AFTER BIRD STRIKE ON  DEPARTURE.  A/C LEVELED OFF AT 6.0 & BIRD STRIKE WAS BEFORE THAT  AT ABOUT 250 K OR LESS.  4 BLADES WERE REPLACED. ATIS WARNING.  ENG VIBRATION.,Climb,5/12/1993 0:00:00,IL,200.0,150.0,Precautionary Landing,Some Cloud,UNKNOWN BIRD,1
USA,US AIRWAYS,B-737-300,POSSIBLY OWL. NOT FOUND ON RWY INSPN.,Landing Roll,11/7/1995 0:00:00,LA,0.0,135.0,None,Some Cloud,UNKNOWN BIRD - MEDIUM,1
AAL,AMERICAN AIRLINES,FK-100,"APPEARED TO BE SPARROWS, AT LEAST 4 HIT A/C. TIME= 1025LCL",Take-off run,9/2/1996 0:00:00,PA,0.0,100.0,None,No Cloud,SPARROWS,2-10
NWA,NORTHWEST AIRLINES,MD-80,NO DAMAGE,Climb,7/22/1995 0:00:00,WI,110.0,110.0,None,No Cloud,HAWKS,1
ABX,ABX AIR (was AIRBORNE EXPRESS),DC-8-63,PERFORMED BIRD STRIKE CONDITION CHECK. NO DAMAGE NOTED.,Approach,10/25/1995 0:00:00,OH,300.0,135.0,None,,UNKNOWN BIRD,1
BUS,BUSINESS,C-172,"PILOT WAS RETRIMMING A/C FOR T/O DURING A TOUCH & GO LANDING,  WHEN A DEER RAN ONTO THE RWY.  DEER HIT L SIDE OF A/C & DAMAGED  UNDERSIDE OF L WING, THEN HIT & DAMAGED L HORIZ STABIL.  PILOT  STOPPED A/C W/O FURTHER DAMAGE.",Take-off run,10/17/1992 0:00:00,OH,0.0,120.0,Aborted Take-off,No Cloud,WHITE-TAILED DEER,1
AWI,AIR WISCONSIN AIRLINES,BA-146-100,SAW 10 HIT 8.  OTHER HIT = PYLONS  NO DAMAGE,Take-off run,3/19/1992 0:00:00,CO,0.0,120.0,None,Some Cloud,UNKNOWN BIRD - SMALL,2-10
FDX,FEDEX EXPRESS,B-727,FLT 673,Approach,3/20/1992 0:00:00,IA,300.0,140.0,None,No Cloud,BLACKBIRDS,2-10
REC,REGIONAL EXPRESS,C-402,"HOLE IN WINDSHLD 12"" X 14"".  ELEVATOR STRUCK, L TRAILING EDGE  6""-8"" TEAR IN ALUMINUM.",Approach,3/20/1992 0:00:00,ID,600.0,130.0,None,No Cloud,GULLS,1
WCY,VIKING EXPRESS,LEARJET-25,"BIRD LEFT 1"" X 2"" SCUFF ON L WINDSHLD.",En Route,10/28/1995 0:00:00,IL,1500.0,200.0,None,No Cloud,UNKNOWN BIRD - SMALL,1
DAL,DELTA AIR LINES,MD-88,"HIT ABOVE CO PILOT'S WINDSHLD ON UPPER FUSELAGE NOSE, NO DAMAGE.",Approach,8/30/1997 0:00:00,GA,5500.0,210.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1
SWA,SOUTHWEST AIRLINES,B-737,"FLT 336. AFTER DEPTG, PILOT REPTD A/C VIBRATION DUE TO POSSIBLE  BIRD STRIKE TO #1 ENG. A/C RETD TO BNA, LANDED SAFELY.",Climb,8/29/1997 0:00:00,TN,200.0,150.0,Precautionary Landing,,UNKNOWN BIRD,1
UNK,UNKNOWN,UNKNOWN,PILOT REPTD STRIKE. BIRD RECOVERED BY ARFF,Take-off run,5/15/1997 0:00:00,KY,0.0,120.0,None,Some Cloud,CHIMNEY SWIFT,1
BUS,BUSINESS,BE-35,"DON'T KNOW WHERE BIRD STRUCK, NO DAMAGE.",Climb,2/10/1993 0:00:00,FL,200.0,150.0,Precautionary Landing,Some Cloud,GULLS,1
USA,US AIRWAYS,FK-100,NO DAMAGE.,Take-off run,5/20/1996 0:00:00,NC,0.0,120.0,None,No Cloud,NORTHERN MOCKINGBIRD,1
BUS,BUSINESS,MU-300,PILOT ADVSD MINIMUM DAMAGE TO WING. A/C RETD TO  SERVICE.,Climb,12/9/1992 0:00:00,MO,650.0,150.0,Precautionary Landing,Overcast,DUCKS,2-10
ALO,ALLEGHENYAIRLINES,DHC8 DASH 8,NO DAMAGE TO FLT 3583. TIME = 1030 LCL OR 1235 LCL. TIMES WERE  REPTD ON DIFFERENT FORMS.,Climb,7/16/1997 0:00:00,CT,175.0,125.0,None,Some Cloud,UNKNOWN BIRD - MEDIUM,1
JAL,JAPAN AIRLINES,B-777-200,,Approach,3/16/1996 0:00:00,WA,600.0,150.0,None,Some Cloud,UNKNOWN BIRD - LARGE,1
DAL,DELTA AIR LINES,MD-88,FLT401,Landing Roll,4/29/1996 0:00:00,FL,0.0,100.0,None,Some Cloud,UNKNOWN BIRD,1
BUS,BUSINESS,C-206 STATIO,STRIKE WAS HEARD BY PILOT & CO/P. DID NOT AFFECT FLT. LANDING  NORMAL. LE OF WING DAMAGED. TIME = 2145 LCL,Descent,9/18/1996 0:00:00,MO,5000.0,140.0,None,Some Cloud,UNKNOWN BIRD,1
NWA,NORTHWEST AIRLINES,DC-9,,Approach,9/18/1996 0:00:00,WI,10.0,140.0,None,No Cloud,BLACKBIRDS,1
AAH*,ALOHA AIRLINES,B-737-200,NO DAMAGE.,Landing Roll,10/1/1996 0:00:00,HI,0.0,80.0,None,No Cloud,UNKNOWN BIRD - MEDIUM,1
USA,US AIRWAYS,B-737-200,"EXTENT OF DAMAGE UNKN, JUST BENT FAN BLADES.",Climb,4/25/1996 0:00:00,PA,1000.0,200.0,Precautionary Landing,No Cloud,UNKNOWN BIRD,1
USA,US AIRWAYS,B-737-400,DENTED RADOME,Approach,4/25/1996 0:00:00,FL,200.0,140.0,None,No Cloud,DUCKS,1
AAL,AMERICAN AIRLINES,B-767,FLT 80 ENRT ORD-ESSA RETRD AND LANDED ORD W/O INCID. AT 2220Z  AFTER A POSSIBLE BIRD STRIKE. NO EMERG EQUIP. REQSTD.,En Route,7/31/1996 0:00:00,IL,2500.0,130.0,Precautionary Landing,,UNKNOWN BIRD,1
BUS,BUSINESS,BE-200 KING,,Take-off run,7/12/1996 0:00:00,NY,0.0,85.0,Aborted Take-off,Some Cloud,UNKNOWN BIRD - SMALL,2-10
DAL,DELTA AIR LINES,B-767,FLT 107. A LOUD BOOM WAS HEARD DURING DEPTR FROM BOMBAY INDIA.  EMERGENCY EQUIP WAS ON STANDBY AT FRANKFORT. AFTER LANDING SAFELY  IT WAS DETERMINED THE A/C HAD A BIRD STRIKE JUST ABOVE LT SLIDING  WINDOW. TIME = 0530Z.,Climb,11/7/1996 0:00:00,,200.0,150.0,Precautionary Landing,,UNKNOWN BIRD,1
BUS,BUSINESS,C-650,TIME = 2015 LCL. ATIS WARNING.,Landing Roll,8/11/1997 0:00:00,IL,0.0,105.0,None,Some Cloud,CANADA GOOSE,1
ABX,ABX AIR (was AIRBORNE EXPRESS),DC-8-61,"PRIOR TO T/D, HAD BIRD STRIKE ON L SIDE FUSELAGE OR WING.  COMPLIED WITH BIRD STRIKE INSPN. NO DEFECTS NOTED.",Approach,6/7/1998 0:00:00,TX,300.0,135.0,None,,UNKNOWN BIRD,1
BTA,EXPRESSJET (CONTINENTAL EXPRS),BE-1900,,Approach,12/18/1996 0:00:00,TX,1000.0,180.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1
USA,US AIRWAYS,MD-82,TIME = 1600 LCL.,Approach,8/11/1997 0:00:00,NC,50.0,130.0,None,No Cloud,UNKNOWN BIRD - SMALL,1
AAH*,ALOHA AIRLINES,B-737-200,"POSSIBLE BIRD INGESTION AS EVIDENCED BY SMELL IN AIR COND. NO  DAMAGE, ALL PARAMETERS NORMAL.",Take-off run,12/18/1997 0:00:00,HI,0.0,150.0,None,Some Cloud,UNKNOWN BIRD,1
AWE,AMERICA WEST AIRLINES,B-737-300,FLT 881.  PILOT REPTD NO DAMAGE.  CAPT KROUT. TIME = 2022 PST.,Approach,3/3/1996 0:00:00,CA,50.0,140.0,None,Some Cloud,UNKNOWN BIRD,1
USA,US AIRWAYS,B-737-300,DENT IN FUSELAGE BELOW R2 WINDOW,Take-off run,3/3/1996 0:00:00,FL,0.0,135.0,None,No Cloud,BROWN PELICAN,1
AMT,ATA AIRLINES (AMERICAN TRANS A,B-727-200,NO A/C DAMAGE. SMALL BLOOD SMEAR BEHIND L-2 COCKPIT WINDOW. 2  DEAD SWALLOWS FOUND ON RWY.,Landing Roll,2/4/1996 0:00:00,FL,0.0,100.0,None,Some Cloud,SWALLOWS,2-10
USA,US AIRWAYS,B-737-200,NO DAMAGE REPTD TO L-3 WINDSHLD,Approach,9/8/1996 0:00:00,MA,100.0,140.0,None,Overcast,GULLS,1
USA,US AIRWAYS,FK-100,ATIS WARNING.,Landing Roll,9/8/1996 0:00:00,PA,0.0,120.0,None,Overcast,SWALLOWS,1
DAL,DELTA AIR LINES,MD-88,MAY HAVE BEEN A BAT. HIT CAPT'S SIDE OF LOWER FUSELAGE. MAINT  COULD FIND NO DAMAGE ON FUSELAGE & WAS PREPARING TO CHECK #1 ENG  AS A PRECAUTION BUT CREW DEPTD BEFORE RESULTS OF ENG INSPN WERE  KNOWN.,Approach,8/14/1996 0:00:00,KY,40.0,132.0,None,No Cloud,UNKNOWN BIRD - SMALL,1
PDT,PIEDMONT AIRLINES,DHC8 DASH 8,MAINT WILL CHECK GEAR IN MORNING.,Landing Roll,7/27/1996 0:00:00,,0.0,105.0,None,Some Cloud,CRANES,1
GAA,BUSINESS EXPRESS,SAAB-340,NO DAMAGE,Landing Roll,4/30/1996 0:00:00,ME,0.0,120.0,None,Overcast,GULLS,1
HAL,HAWAIIAN AIR,DC-9,FLT 128. OWL?,Climb,1/26/1996 0:00:00,HI,190.0,150.0,None,Overcast,UNKNOWN BIRD - MEDIUM,1
USA,US AIRWAYS,FK-100,DAMAGE TO F/O WINDSHLD WIPER.,Climb,11/6/1996 0:00:00,NY,800.0,170.0,None,Overcast,GULLS,1
WWM,WINGS WEST,SAAB-340,,Approach,11/6/1996 0:00:00,CA,1500.0,150.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1
UPS,UPS AIRLINES,B-727,"PILOT REPTD NO DAMAGE, NO EFFECT ON FLT. TIME = 2225 LCL.",Take-off run,9/10/1997 0:00:00,VA,0.0,120.0,None,Overcast,UNKNOWN BIRD,1
SJM,SOUTHERN AIR TRANSPORT,B-747-1/200,SAW FLOCK OF B/W BIRDS SIZE OF PIGEONS ON RWY DURING T/O.  BIRDS TOOK OFF & SEVERAL WERE INGESTED IN #4 ENG RESULTING IN RISE IN  EGT & OVERTEMP LIGHT CAME ON.  LOUD BANG FOLLOWED & T/O ABORTED.  SEVERAL TIRES THERMALLED. 3 BLADES BENT. NO DETECTABLE LOSS OF THRUST.,Climb,10/12/1995 0:00:00,,1.0,105.0,Aborted Take-off,Overcast,UNKNOWN BIRD - MEDIUM,2-10
USA,US AIRWAYS,B-737-300,NO DAMAGE,Landing Roll,7/12/1996 0:00:00,PA,0.0,130.0,None,Some Cloud,CROWS,1
COM,COMAIR AIRLINES,CL-RJ100/200,,Climb,9/28/1996 0:00:00,KY,2300.0,215.0,Precautionary Landing,Some Cloud,UNKNOWN BIRD - SMALL,1
USA,US AIRWAYS,B-737-300,MARKS AND STREAKS ON NOSE,Take-off run,6/13/1995 0:00:00,PA,0.0,130.0,None,Some Cloud,GULLS,1
NWA,NORTHWEST AIRLINES,DC-10,FLT 37 HAD A BROKEN LANDING LIGHT. ASSUME RBGU AS THEY COMPRISED100% OF GULLS OBSERVED ON ARPT DURING MONTH OF STRIKE.,Approach,11/13/1996 0:00:00,DC,100.0,140.0,None,Some Cloud,RING-BILLED GULL,1
USA,US AIRWAYS,B-737-200,,Descent,3/25/1996 0:00:00,FL,1800.0,210.0,None,No Cloud,UNKNOWN BIRD - SMALL,1
GTI,ATLAS AIR,B-747-1/200,"2 LRG BIRD, PROBABLY GULLS WERE ILLUMINATED BY LANDING LIGHTS  DURING CLIMBOUT FROM TPE, AT 8500 MSL OVER OCEAN.  1 STRUCK LOWER  NOSE BELOW RADOME.  OTHER DID NOT STRIKE A/C. FLAPS & GEAR WERE  UP. A/C WAS IN CLOUDS. LT RAIN, 8N MI N OF APU VOR.",Climb,5/29/1996 0:00:00,,8500.0,290.0,None,Overcast,GULLS,1
UPS,UPS AIRLINES,B-757-200,,Descent,4/25/1996 0:00:00,VA,3800.0,203.0,None,Some Cloud,UNKNOWN BIRD - LARGE,1
COA,CONTINENTAL AIRLINES,MD-80 SERIES,NO DAMAGE,Approach,10/11/1995 0:00:00,DC,550.0,140.0,None,No Cloud,CHIMNEY SWIFT,1
AAL,AMERICAN AIRLINES,DC-10,,Climb,10/27/1995 0:00:00,CA,1800.0,200.0,None,No Cloud,UNKNOWN BIRD - SMALL,1
AAH*,ALOHA AIRLINES,B-737-200,FLT203 REPTD BIRD STRIKE ON LANDING AT 5000' MARKER. ADC-5 REPTD  BIRD STRUCK ABOVE WINDSHLD. NO APPARENT DAMGE. REMOVAL OFFICE  NOTIFIED. TIME = 1119LCL.,Landing Roll,10/4/1996 0:00:00,HI,0.0,105.0,None,No Cloud,PACIFIC GOLDEN-PLOVER,1
SWA,SOUTHWEST AIRLINES,B-737-200,DAMAGE TO #1 ENG PYLON.,Climb,3/23/1997 0:00:00,LA,3000.0,220.0,None,No Cloud,UNKNOWN BIRD - MEDIUM,2-10
BUS,BUSINESS,BE-90  KING,"RAIN. NO DAMAGE, A/C CONTD ON FLT",Take-off run,2/22/1996 0:00:00,VA,0.0,120.0,None,Overcast,GULLS,1
USA,US AIRWAYS,MD-80,SAW 3 HIT 1.,Climb,7/26/1996 0:00:00,PA,1400.0,150.0,None,No Cloud,UNKNOWN BIRD - SMALL,1
SDU,WESTAIR COMMUTER,EMB-120,,Climb,10/20/1995 0:00:00,CA,200.0,140.0,None,No Cloud,UNKNOWN BIRD - SMALL,2-10
USA,US AIRWAYS,B-737-400,HIT CROW ON LANDING ROLL. NO DAMAGE.,Landing Roll,8/25/1995 0:00:00,NY,0.0,110.0,None,No Cloud,AMERICAN CROW,1
AAL,AMERICAN AIRLINES,MD-82,"NEVER HEARD THE STRIKE, BUT SUSPECTED ONE. INSPN AT LDG SHOWED NO  SIGNS OF DAMAGE OR BIRD MATERIAL.",Take-off run,5/29/1997 0:00:00,TX,0.0,165.0,None,Overcast,UNKNOWN BIRD - MEDIUM,1
USA,US AIRWAYS,DC-9,DARK COLORED BIRDS. NO DAMAGE OR EFFECT.,Landing Roll,6/3/1993 0:00:00,PA,0.0,105.0,None,Some Cloud,UNKNOWN BIRD - SMALL,2-10
NWA,NORTHWEST AIRLINES,DC-9,"ENG COUGHED. ""IT STINKS LIKE HELL."" NO DAMAGE REPTD. A/C CONTD TO  KMEM.",Climb,12/16/1995 0:00:00,AR,1900.0,150.0,Other,Overcast,UNKNOWN BIRD - LARGE,1
UPS,UPS AIRLINES,B-727,,Descent,5/11/1993 0:00:00,KY,2300.0,220.0,None,No Cloud,UNKNOWN BIRD - SMALL,1
AAL,AMERICAN AIRLINES,FK-100,,Approach,5/11/1993 0:00:00,IL,50.0,135.0,None,Some Cloud,UNKNOWN BIRD - MEDIUM,1
BUS,BUSINESS,C-172,"BIRD REPTD AS DOVE, ASSUME MOURNING DOVE FROM LOCATION.",Climb,9/1/1995 0:00:00,AL,300.0,90.0,None,Some Cloud,MOURNING DOVE,1
USA,US AIRWAYS,FK-100,PERMANENT NOTAM FOR BIRD ACTIVITY.,Take-off run,2/14/1996 0:00:00,TN,0.0,110.0,None,No Cloud,UNKNOWN BIRD - SMALL,1
FDX,FEDEX EXPRESS,B-727,HEARD STRIKES,Approach,2/15/1996 0:00:00,WI,150.0,136.0,None,No Cloud,DUCKS,2-10
ABX,ABX AIR (was AIRBORNE EXPRESS),DC-9-30,REMOVED REMAINS FROM F/O CLEARVIEW WINDOW.  NO DAMAGE.,En Route,5/6/1993 0:00:00,,2500.0,130.0,None,,UNKNOWN BIRD,1
TWA,TRANS WORLD AIRLINES,B-767,CREW RELAYED TO TOWER THAT THEY FELT THEY HIT BIRDS ON APPROACH.   RY SWEEP FOUND NO BIRDS.  A/C INSPCN. FOUND NO VISIBLE DAMAGE.,Approach,7/17/1993 0:00:00,NY,300.0,135.0,None,,UNKNOWN BIRD,2-10
BUS,BUSINESS,BE-300 KING,BIRD STRUCK L OUTBOARD INLET MUZZLE. NO ENG INGESTION. NO DAMAGE  REPTD. 1 BIRD FOUND ON RWY. MIST. TIME = 1015 LCL.,Approach,11/4/1996 0:00:00,CA,10.0,120.0,None,Some Cloud,EUROPEAN STARLING,1
PVT,PRIVATELY OWNED,C-172,,Approach,5/10/1992 0:00:00,CA,50.0,100.0,None,No Cloud,BLACKBIRDS,2-10
GOV,GOVERNMENT,PA-28,"WINDY, EVASIVE ACTION TAKEN.",Climb,1/28/1992 0:00:00,FL,100.0,65.0,None,Some Cloud,GULLS,1
NWA,NORTHWEST AIRLINES,DC-10-40,FLT 50 INGESTED SEVERAL BIRDS IN ENG. DAMAGE UNKN.,Take-off run,1/29/1992 0:00:00,CA,0.0,120.0,Aborted Take-off,No Cloud,ROCK PIGEON,2-10
PHM,PETROLEUM HELICOPTERS,SIKORSKY S-76,FREEPORT MCMORAN HELIPORT.,Climb,4/29/1996 0:00:00,,20.0,20.0,Precautionary Landing,Some Cloud,GULLS,1
BUS,BUSINESS,BA-41 JETSTR,,Climb,4/21/1997 0:00:00,NJ,15.0,150.0,None,Some Cloud,CANADA GOOSE,2-10
USA,US AIRWAYS,B-737-300,HIT WIPER BLADE. NO DAMAGE. TIME = 1602 LCL.,Landing Roll,8/12/1997 0:00:00,PA,0.0,120.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1
AAL,AMERICAN AIRLINES,B-727-200,NO DAMAGE.,Approach,8/31/1996 0:00:00,FL,30.0,142.0,None,No Cloud,UNKNOWN BIRD - SMALL,1
AAL,AMERICAN AIRLINES,MD-82,"SMALL, YELLOW BREASTED BIRD, FREQUENTLY SEEN IN RURAL EAST TEXAS  FLYING FROM L TO R DURING T/O ROLL. BIRD HIT L SIDE OF RADOME,  BELOW CAPT'S WINDSHLD. INCIDENT LOGGED. NO DAMAGE NOTED.",Take-off run,8/31/1996 0:00:00,LA,0.0,100.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1
AAL,AMERICAN AIRLINES,MD-82,,Approach,11/28/1996 0:00:00,,100.0,130.0,None,No Cloud,UNKNOWN BIRD - SMALL,1
ASH,MESA AIRLINES,BE-1900,"BIRD REPTD AS DOVE, ASSUME MOURNING DOVE FROM LOCATION. NOSE GEAR DOOR WAS STRUCK. NO DAMAGE APPARENT TO A/C CREW. BIRD  WAS STRUCK AS A/C TOUCHED DOWN. FLT 5514.",Landing Roll,7/9/1996 0:00:00,AL,0.0,90.0,None,Some Cloud,MOURNING DOVE,1
DAL,DELTA AIR LINES,B-737,A/C HAD BIRD STRIKE TO #2 ENG GOING OUT OF SOUTH BEND. CONTD TO  KCVG. ON DEPTR FROM CVG SMELL IN COCKPIT BELIEVED TO COME FROM  BIRD STRIKE CAUSED PILOT TO TURN BACK TO CVG.  THIS OCCURRENCED  OCCURRED TWICE 1100Z & 1550Z.,Climb,9/9/1996 0:00:00,IN,200.0,150.0,Other,,UNKNOWN BIRD,1
ASA,ALASKA AIRLINES,B-737-400,"FLT 98 STRUCK BIRD ON DEPTR AT 1631 LCL. DUE TO VIBRATION, A/C  RETD TO OAK. FOUND DENT IN FAN BLADE #2 ENG. FLT CANCELLED.",Take-off run,2/4/1997 0:00:00,CA,0.0,120.0,Precautionary Landing,,UNKNOWN BIRD,1
AWI,AIR WISCONSIN AIRLINES,BA-146,TIME = 1015 LCL. FLT # 602.  RAIN.,Climb,11/9/1997 0:00:00,WV,100.0,140.0,None,Overcast,GULLS,2-10
AAL,AMERICAN AIRLINES,B-727-200,,Take-off run,11/4/1997 0:00:00,,0.0,120.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1
BUS,BUSINESS,C-172,"LE WING DENTED, RIPPLED.",Approach,3/24/1996 0:00:00,CA,600.0,65.0,None,No Cloud,UNKNOWN BIRD - MEDIUM,1
BUS,BUSINESS,BE-2000,BIRD STRUCK NOSE AREA 2' IN FRONT OF WINDSHLD & STRUCK WINDSHLD  WIPER & THEN HIT RT ENG NACELLE AREA & PROP.,En Route,11/5/1997 0:00:00,NY,3500.0,240.0,None,No Cloud,UNKNOWN BIRD,1
USA,US AIRWAYS,B-737-300,A/C PROGRAMMED FOR ENG BORESCOPE INSPN.,Climb,8/24/1997 0:00:00,MD,30.0,160.0,None,Some Cloud,UNKNOWN BIRD - MEDIUM,1
AAL,AMERICAN AIRLINES,MD-82,RT WING FORWARD LE SLAT HAD MINOR DAMAGE. COST OF REPAIRS UNKN.,Climb,10/23/1996 0:00:00,CA,5000.0,250.0,None,No Cloud,UNKNOWN BIRD - MEDIUM,1
DAL,DELTA AIR LINES,B-737,NO DAMAGE. TIME = 2130 LCL.,Approach,2/5/1997 0:00:00,FL,1500.0,140.0,None,Overcast,UNKNOWN BIRD - SMALL,1
SWA,SOUTHWEST AIRLINES,B-737-300,NO DAMAGE.,Take-off run,12/27/1996 0:00:00,TX,0.0,130.0,None,Overcast,UNKNOWN BIRD - SMALL,1
UFS,UFS-UNITED EXPRESS,BA-ATP,IMPACT AREA ON WING WAS SMALL.,Climb,8/8/1997 0:00:00,IL,190.0,110.0,None,No Cloud,UNKNOWN BIRD - SMALL,1
DAL,DELTA AIR LINES,B-727-200,,Climb,10/2/1996 0:00:00,TX,2000.0,210.0,None,No Cloud,UNKNOWN BIRD - LARGE,1
NWA,NORTHWEST AIRLINES,DC-9,FLT 691. PILOT WAS UNSURE OF # & TYPE OF BIRDS.,Take-off run,10/2/1996 0:00:00,NC,0.0,120.0,None,Overcast,UNKNOWN BIRD,1
BUS,BUSINESS,LEARJET-31,DAMAGED RH MAIN GEAR DOOR.,Approach,4/7/1997 0:00:00,DE,8.0,80.0,None,No Cloud,GULLS,1
USA,US AIRWAYS,B-737-300,ON ROTATION FLT 1594 HIT & INGESTED A LRG BIRD IN #2 ENG. SEVERAL  FAN BLADES WERE BENT & A/C WAS TAKEN OUT OF SVC TILL 0600 THE  NEXT DAY. VIBRATION FELT.,Take-off run,9/11/1996 0:00:00,TX,0.0,160.0,Precautionary Landing,No Cloud,UNKNOWN BIRD - LARGE,1
PVT,PRIVATELY OWNED,C-150,,Approach,1/3/1995 0:00:00,NC,100.0,60.0,None,Some Cloud,BLACKBIRDS,1
BUS,BUSINESS,CITATION II,LARGE BLACK BIRDS. H.F. ANTENNA BROKE LOOSE AT FUSELAGE AND  REMOVED.  TIME LOST 15 MINS.,Approach,5/3/1993 0:00:00,NH,3000.0,180.0,None,Some Cloud,UNKNOWN BIRD - MEDIUM,1
DAL,DELTA AIR LINES,B-737,FLT 2043 NO DAMAGE REPTD. TIME = 0939 LCL,Take-off run,7/8/1996 0:00:00,WA,0.0,120.0,None,No Cloud,UNKNOWN BIRD,1
AAL,AMERICAN AIRLINES,MD-82,4 GULLS FLYING RT TO LFT SPOTTED NEARY RY AT ABOUT 130 KTS.  ROTATED AND STRUCK 1 BIRD WITH NOSE GEAR. CONTD FLT TO DEST.   INSPECTION REVEALED NO DAMAGE.,Take-off run,1/19/1993 0:00:00,FL,0.0,140.0,None,Some Cloud,GULLS,1
AAL,AMERICAN AIRLINES,MD-83,POSSIBLY BARN SWALLOW.  COST $100 ESTIMATED TO BE MAINT CALL FOR  INSPECTN.,Approach,5/4/1993 0:00:00,TX,700.0,130.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1
USA,US AIRWAYS,B-737-300,SMALL BROWN BIRD,Take-off run,3/28/1995 0:00:00,VA,0.0,120.0,None,No Cloud,UNKNOWN BIRD - SMALL,1
USA,US AIRWAYS,B-737-200,FLT 436 HIT 3 GULLS AT 1217 LCL. NO DAMAGE.,Landing Roll,7/12/1996 0:00:00,NY,0.0,100.0,None,Some Cloud,GULLS,2-10
ASH,MESA AIRLINES,BE-1900,NO DAMAGE. TIME = 1545LCL.,Climb,5/22/1997 0:00:00,WA,1600.0,160.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1
AAL,AMERICAN AIRLINES,B-727-200,UNKN BIRD STRUCK L BOTTOM OF RADOME WITH LOUD METALLIC THUD.,Climb,10/9/1996 0:00:00,FL,2000.0,210.0,None,Some Cloud,UNKNOWN BIRD - MEDIUM,1
DAL,DELTA AIR LINES,MD-88,NO DAMAGE ON PILOT INSPN. MAINT. NOTIFIED.,Approach,10/10/1996 0:00:00,GA,1000.0,150.0,None,Some Cloud,UNKNOWN BIRD - MEDIUM,1
PVT,PRIVATELY OWNED,C-172,WING STRUT.,Take-off run,10/10/1996 0:00:00,VA,0.0,60.0,None,Some Cloud,GULLS,1
BUS,BUSINESS,GULFSTRM II,,Take-off run,8/1/1997 0:00:00,MI,0.0,120.0,None,Overcast,UNKNOWN BIRD - SMALL,1
UNK,UNKNOWN,HAWKER 800,"NO DAMAGE TO A/C. STEELCASE. BIRD REPTD AS GOOSE, ASSUME CAGO.",Approach,11/8/1995 0:00:00,IL,3000.0,135.0,None,,CANADA GOOSE,1
PDT,PIEDMONT AIRLINES,DHC8 DASH 8,NO DAMAGE,Take-off run,5/28/1996 0:00:00,VA,0.0,120.0,Aborted Take-off,Overcast,GULLS,1
PDT,PIEDMONT AIRLINES,BE-1900,"INFO PROVIDED BY CURT LOGAN, US AIR EXP",Approach,7/22/1996 0:00:00,NE,30.0,110.0,None,Overcast,UNKNOWN BIRD - SMALL,1
AAL,AMERICAN AIRLINES,MD-82,ATIS WARNING. NO DAMAGE/INJURY.,Descent,10/29/1996 0:00:00,TX,8000.0,250.0,None,No Cloud,UNKNOWN BIRD,1
USA,US AIRWAYS,B-737-300,80% NI REVERSE WHEN BIRD HIT #1 ENG LAST 2000' OF LANDING ROLL.   2 FAN BLADES ON #1 ENG BENT.,Approach,6/9/1993 0:00:00,MA,20.0,135.0,None,Overcast,GULLS,1
GLA,GREAT LAKES AIRLINES,BE-1900,NO DAMAGE.,Take-off run,7/19/1993 0:00:00,IL,0.0,100.0,None,,GULLS,1
